sent_id,item_id,verb,sentence_type,attachment,plurality,sentence,critical_token,critical_prob,logprob
1,1,scold,IC,high,sg,Anna scolded the chef of the aristocrats who was, was,-3.538207530975342,"[(' sc', -9.480382919311523), ('olded', -2.7512776851654053), (' the', -2.3421854972839355), (' chef', -7.276005744934082), (' of', -4.477642059326172), (' the', -1.258042812347412), (' arist', -11.075675964355469), ('ocrats', -2.3200442790985107), (' who', -2.0660109519958496), (' was', -3.538207530975342)]"
2,1,study,nonIC,high,sg,Anna studied with the chef of the aristocrats who was, was,-3.1364235877990723,"[(' studied', -10.819318771362305), (' with', -3.6210427284240723), (' the', -2.8300094604492188), (' chef', -8.791770935058594), (' of', -4.1600189208984375), (' the', -0.894258439540863), (' arist', -10.7057523727417), ('ocrats', -3.286210298538208), (' who', -2.8442864418029785), (' was', -3.1364235877990723)]"
3,1,scold,IC,low,pl,Anna scolded the chef of the aristocrats who were, were,-1.9074169397354126,"[(' sc', -9.480382919311523), ('olded', -2.7512776851654053), (' the', -2.3421854972839355), (' chef', -7.276005744934082), (' of', -4.477642059326172), (' the', -1.258042812347412), (' arist', -11.075675964355469), ('ocrats', -2.3200442790985107), (' who', -2.0660109519958496), (' were', -1.9074169397354126)]"
4,1,study,nonIC,low,pl,Anna studied with the chef of the aristocrats who were, were,-1.9620003700256348,"[(' studied', -10.819318771362305), (' with', -3.6210427284240723), (' the', -2.8300094604492188), (' chef', -8.791770935058594), (' of', -4.1600189208984375), (' the', -0.894258439540863), (' arist', -10.7057523727417), ('ocrats', -3.286210298538208), (' who', -2.8442864418029785), (' were', -1.9620003700256348)]"
5,2,stare,IC,high,sg,John stared at the teacher of the second graders who was, was,-1.4982430934906006,"[(' stared', -11.85787582397461), (' at', -0.5964218378067017), (' the', -1.4035959243774414), (' teacher', -8.62015151977539), (' of', -5.552774429321289), (' the', -0.864142894744873), (' second', -4.065651893615723), (' grad', -5.990596294403076), ('ers', -1.6750128269195557), (' who', -2.839785575866699), (' was', -1.4982430934906006)]"
6,2,live,nonIC,high,sg,John lived next to the teacher of the second graders who was, was,-2.6108169555664062,"[(' lived', -10.2154541015625), (' next', -5.388871192932129), (' to', -1.8511606454849243), (' the', -2.0083932876586914), (' teacher', -7.9463653564453125), (' of', -3.423872232437134), (' the', -0.966829240322113), (' second', -5.1009416580200195), (' grad', -5.566834449768066), ('ers', -1.3101036548614502), (' who', -2.7776215076446533), (' was', -2.6108169555664062)]"
7,2,stare,IC,low,pl,John stared at the teacher of the second graders who were, were,-2.629842519760132,"[(' stared', -11.85787582397461), (' at', -0.5964218378067017), (' the', -1.4035959243774414), (' teacher', -8.62015151977539), (' of', -5.552774429321289), (' the', -0.864142894744873), (' second', -4.065651893615723), (' grad', -5.990596294403076), ('ers', -1.6750128269195557), (' who', -2.839785575866699), (' were', -2.629842519760132)]"
8,2,live,nonIC,low,pl,John lived next to the teacher of the second graders who were, were,-1.6730653047561646,"[(' lived', -10.2154541015625), (' next', -5.388871192932129), (' to', -1.8511606454849243), (' the', -2.0083932876586914), (' teacher', -7.9463653564453125), (' of', -3.423872232437134), (' the', -0.966829240322113), (' second', -5.1009416580200195), (' grad', -5.566834449768066), ('ers', -1.3101036548614502), (' who', -2.7776215076446533), (' were', -1.6730653047561646)]"
9,3,assist,IC,high,sg,Jenny assisted the maid of the executives who was, was,-3.769540309906006,"[('enny', -9.215071678161621), (' assisted', -12.458076477050781), (' the', -2.71966552734375), (' maid', -8.95539665222168), (' of', -4.307809829711914), (' the', -4.003599643707275), (' executives', -11.367727279663086), (' who', -3.142739772796631), (' was', -3.769540309906006)]"
10,3,joke,nonIC,high,sg,Jenny joked with the maid of the executives who was, was,-3.684569835662842,"[('enny', -9.215071678161621), (' joked', -9.054389953613281), (' with', -3.2841038703918457), (' the', -2.425880193710327), (' maid', -8.247114181518555), (' of', -4.110795974731445), (' the', -4.018124580383301), (' executives', -11.485652923583984), (' who', -3.4700469970703125), (' was', -3.684569835662842)]"
11,3,assist,IC,low,pl,Jenny assisted the maid of the executives who were, were,-1.77426278591156,"[('enny', -9.215071678161621), (' assisted', -12.458076477050781), (' the', -2.71966552734375), (' maid', -8.95539665222168), (' of', -4.307809829711914), (' the', -4.003599643707275), (' executives', -11.367727279663086), (' who', -3.142739772796631), (' were', -1.77426278591156)]"
12,3,joke,nonIC,low,pl,Jenny joked with the maid of the executives who were, were,-1.8330836296081543,"[('enny', -9.215071678161621), (' joked', -9.054389953613281), (' with', -3.2841038703918457), (' the', -2.425880193710327), (' maid', -8.247114181518555), (' of', -4.110795974731445), (' the', -4.018124580383301), (' executives', -11.485652923583984), (' who', -3.4700469970703125), (' were', -1.8330836296081543)]"
13,4,trust,IC,high,sg,Nick trusted the captain of the sailors who has, has,-8.215255737304688,"[(' trusted', -12.115035057067871), (' the', -2.7669851779937744), (' captain', -7.305087089538574), (' of', -2.6129908561706543), (' the', -0.7516987323760986), (' sailors', -9.365804672241211), (' who', -2.0167956352233887), (' has', -8.215255737304688)]"
14,4,stand,nonIC,high,sg,Nick stood near the captain of the sailors who has, has,-9.203534126281738,"[(' stood', -9.830355644226074), (' near', -5.376206874847412), (' the', -0.8726889491081238), (' captain', -7.710197448730469), (' of', -3.1926465034484863), (' the', -0.336431086063385), (' sailors', -9.430889129638672), (' who', -2.6477794647216797), (' has', -9.203534126281738)]"
15,4,trust,IC,low,pl,Nick trusted the captain of the sailors who have, have,-6.034706115722656,"[(' trusted', -12.115035057067871), (' the', -2.7669851779937744), (' captain', -7.305087089538574), (' of', -2.6129908561706543), (' the', -0.7516987323760986), (' sailors', -9.365804672241211), (' who', -2.0167956352233887), (' have', -6.034706115722656)]"
16,4,stand,nonIC,low,pl,Nick stood near the captain of the sailors who have, have,-6.582813739776611,"[(' stood', -9.830355644226074), (' near', -5.376206874847412), (' the', -0.8726889491081238), (' captain', -7.710197448730469), (' of', -3.1926465034484863), (' the', -0.336431086063385), (' sailors', -9.430889129638672), (' who', -2.6477794647216797), (' have', -6.582813739776611)]"
17,5,correct,IC,high,sg,Angela corrected the secretary of the lawyers who was, was,-4.711859703063965,"[('ela', -8.746016502380371), (' corrected', -11.830218315124512), (' the', -2.26005482673645), (' secretary', -9.366732597351074), (' of', -1.651921272277832), (' the', -3.2182836532592773), (' lawyers', -11.285154342651367), (' who', -2.7216787338256836), (' was', -4.711859703063965)]"
18,5,gossip,nonIC,high,sg,Angela gossiped with the secretary of the lawyers who was, was,-3.38131046295166,"[('ela', -8.746016502380371), (' gossip', -15.540278434753418), ('ed', -0.3926905393600464), (' with', -2.2637786865234375), (' the', -2.3959004878997803), (' secretary', -6.825747489929199), (' of', -1.6507247686386108), (' the', -1.398181438446045), (' lawyers', -10.07398509979248), (' who', -2.844062328338623), (' was', -3.38131046295166)]"
19,5,correct,IC,low,pl,Angela corrected the secretary of the lawyers who were, were,-2.297224998474121,"[('ela', -8.746016502380371), (' corrected', -11.830218315124512), (' the', -2.26005482673645), (' secretary', -9.366732597351074), (' of', -1.651921272277832), (' the', -3.2182836532592773), (' lawyers', -11.285154342651367), (' who', -2.7216787338256836), (' were', -2.297224998474121)]"
20,5,gossip,nonIC,low,pl,Angela gossiped with the secretary of the lawyers who were, were,-1.9894646406173706,"[('ela', -8.746016502380371), (' gossip', -15.540278434753418), ('ed', -0.3926905393600464), (' with', -2.2637786865234375), (' the', -2.3959004878997803), (' secretary', -6.825747489929199), (' of', -1.6507247686386108), (' the', -1.398181438446045), (' lawyers', -10.07398509979248), (' who', -2.844062328338623), (' were', -1.9894646406173706)]"
21,6,comfort,IC,high,sg,Bob comforted the leader of the activists who was, was,-5.172565460205078,"[(' comfort', -12.009735107421875), ('ed', -0.23319721221923828), (' the', -1.8910013437271118), (' leader', -7.0670485496521), (' of', -0.9101734757423401), (' the', -0.5241624712944031), (' activists', -9.811689376831055), (' who', -2.3784170150756836), (' was', -5.172565460205078)]"
22,6,greet,nonIC,high,sg,Bob greeted the leader of the activists who was, was,-5.052867412567139,"[(' greeted', -12.160263061523438), (' the', -2.209444046020508), (' leader', -6.166547775268555), (' of', -0.5900410413742065), (' the', -0.502937912940979), (' activists', -9.832590103149414), (' who', -2.822319984436035), (' was', -5.052867412567139)]"
23,6,comfort,IC,low,pl,Bob comforted the leader of the activists who were, were,-1.8055914640426636,"[(' comfort', -12.009735107421875), ('ed', -0.23319721221923828), (' the', -1.8910013437271118), (' leader', -7.0670485496521), (' of', -0.9101734757423401), (' the', -0.5241624712944031), (' activists', -9.811689376831055), (' who', -2.3784170150756836), (' were', -1.8055914640426636)]"
24,6,greet,nonIC,low,pl,Bob greeted the leader of the activists who were, were,-1.7698092460632324,"[(' greeted', -12.160263061523438), (' the', -2.209444046020508), (' leader', -6.166547775268555), (' of', -0.5900410413742065), (' the', -0.502937912940979), (' activists', -9.832590103149414), (' who', -2.822319984436035), (' were', -1.7698092460632324)]"
25,7,envy,IC,high,sg,Laura envies the manager of the cashiers who has, has,-4.771984577178955,"[(' env', -11.683858871459961), ('ies', -1.4130594730377197), (' the', -1.3234834671020508), (' manager', -9.622868537902832), (' of', -1.5087743997573853), (' the', -1.1249661445617676), (' cash', -8.840023040771484), ('iers', -4.312533855438232), (' who', -4.0154805183410645), (' has', -4.771984577178955)]"
26,7,know,nonIC,high,sg,Laura knows the manager of the cashiers who has, has,-4.79630184173584,"[(' knows', -8.803068161010742), (' the', -2.6180882453918457), (' manager', -8.459395408630371), (' of', -1.7714154720306396), (' the', -1.0503573417663574), (' cash', -8.108683586120605), ('iers', -4.113807201385498), (' who', -3.710904121398926), (' has', -4.79630184173584)]"
27,7,envy,IC,low,pl,Laura envies the manager of the cashiers who have, have,-3.4492993354797363,"[(' env', -11.683858871459961), ('ies', -1.4130594730377197), (' the', -1.3234834671020508), (' manager', -9.622868537902832), (' of', -1.5087743997573853), (' the', -1.1249661445617676), (' cash', -8.840023040771484), ('iers', -4.312533855438232), (' who', -4.0154805183410645), (' have', -3.4492993354797363)]"
28,7,know,nonIC,low,pl,Laura knows the manager of the cashiers who have, have,-3.5574405193328857,"[(' knows', -8.803068161010742), (' the', -2.6180882453918457), (' manager', -8.459395408630371), (' of', -1.7714154720306396), (' the', -1.0503573417663574), (' cash', -8.108683586120605), ('iers', -4.113807201385498), (' who', -3.710904121398926), (' have', -3.5574405193328857)]"
29,8,value,IC,high,sg,Zack valued the daughter of the shopkeepers who was, was,-4.269887447357178,"[('ack', -8.260766983032227), (' valued', -13.269351959228516), (' the', -1.2951234579086304), (' daughter', -9.511260986328125), (' of', -0.7902470827102661), (' the', -2.393634796142578), (' shop', -8.520590782165527), ('keepers', -4.085535526275635), (' who', -2.7608327865600586), (' was', -4.269887447357178)]"
30,8,recognize,nonIC,high,sg,Zack recognized the daughter of the shopkeepers who was, was,-3.6437525749206543,"[('ack', -8.260766983032227), (' recognized', -9.695789337158203), (' the', -1.4645403623580933), (' daughter', -10.567935943603516), (' of', -0.6963440179824829), (' the', -2.001528024673462), (' shop', -8.530759811401367), ('keepers', -4.009908676147461), (' who', -2.3371589183807373), (' was', -3.6437525749206543)]"
31,8,value,IC,low,pl,Zack valued the daughter of the shopkeepers who were, were,-2.5855612754821777,"[('ack', -8.260766983032227), (' valued', -13.269351959228516), (' the', -1.2951234579086304), (' daughter', -9.511260986328125), (' of', -0.7902470827102661), (' the', -2.393634796142578), (' shop', -8.520590782165527), ('keepers', -4.085535526275635), (' who', -2.7608327865600586), (' were', -2.5855612754821777)]"
32,8,recognize,nonIC,low,pl,Zack recognized the daughter of the shopkeepers who were, were,-2.061011791229248,"[('ack', -8.260766983032227), (' recognized', -9.695789337158203), (' the', -1.4645403623580933), (' daughter', -10.567935943603516), (' of', -0.6963440179824829), (' the', -2.001528024673462), (' shop', -8.530759811401367), ('keepers', -4.009908676147461), (' who', -2.3371589183807373), (' were', -2.061011791229248)]"
33,9,fear,IC,high,sg,Sarah fears the uncle of the toddlers who is, is,-5.111242294311523,"[(' fears', -10.918296813964844), (' the', -2.1511731147766113), (' uncle', -11.36075496673584), (' of', -2.5917510986328125), (' the', -1.862463355064392), (' toddlers', -10.404836654663086), (' who', -2.7253479957580566), (' is', -5.111242294311523)]"
34,9,jog,nonIC,high,sg,Sarah jogs with the uncle of the toddlers who is, is,-2.6152968406677246,"[(' j', -8.668800354003906), ('ogs', -6.983060359954834), (' with', -4.545534133911133), (' the', -2.4432787895202637), (' uncle', -10.279905319213867), (' of', -1.969950556755066), (' the', -1.702890396118164), (' toddlers', -11.141799926757812), (' who', -2.8724865913391113), (' is', -2.6152968406677246)]"
35,9,fear,IC,low,pl,Sarah fears the uncle of the toddlers who are, are,-2.402517318725586,"[(' fears', -10.918296813964844), (' the', -2.1511731147766113), (' uncle', -11.36075496673584), (' of', -2.5917510986328125), (' the', -1.862463355064392), (' toddlers', -10.404836654663086), (' who', -2.7253479957580566), (' are', -2.402517318725586)]"
36,9,jog,nonIC,low,pl,Sarah jogs with the uncle of the toddlers who are, are,-2.3658690452575684,"[(' j', -8.668800354003906), ('ogs', -6.983060359954834), (' with', -4.545534133911133), (' the', -2.4432787895202637), (' uncle', -10.279905319213867), (' of', -1.969950556755066), (' the', -1.702890396118164), (' toddlers', -11.141799926757812), (' who', -2.8724865913391113), (' are', -2.3658690452575684)]"
37,10,notice,IC,high,sg,Adam noticed the representative of the employees who was, was,-3.286954402923584,"[(' noticed', -10.817087173461914), (' the', -2.2939462661743164), (' representative', -11.532516479492188), (' of', -2.046663761138916), (' the', -0.9834959506988525), (' employees', -9.575860977172852), (' who', -2.3539490699768066), (' was', -3.286954402923584)]"
38,10,resemble,nonIC,high,sg,Adam resembled the representative of the employees who was, was,-4.566834449768066,"[(' resembled', -12.555532455444336), (' the', -1.8456599712371826), (' representative', -9.254033088684082), (' of', -0.5542414784431458), (' the', -1.264952301979065), (' employees', -10.571870803833008), (' who', -2.2728586196899414), (' was', -4.566834449768066)]"
39,10,notice,IC,low,pl,Adam noticed the representative of the employees who were, were,-1.8254753351211548,"[(' noticed', -10.817087173461914), (' the', -2.2939462661743164), (' representative', -11.532516479492188), (' of', -2.046663761138916), (' the', -0.9834959506988525), (' employees', -9.575860977172852), (' who', -2.3539490699768066), (' were', -1.8254753351211548)]"
40,10,resemble,nonIC,low,pl,Adam resembled the representative of the employees who were, were,-2.186211347579956,"[(' resembled', -12.555532455444336), (' the', -1.8456599712371826), (' representative', -9.254033088684082), (' of', -0.5542414784431458), (' the', -1.264952301979065), (' employees', -10.571870803833008), (' who', -2.2728586196899414), (' were', -2.186211347579956)]"
41,11,praise,IC,high,pl,Tina praised the gardeners of the millionaire who have, have,-3.351477861404419,"[('ina', -8.422158241271973), (' praised', -11.76224136352539), (' the', -1.0824074745178223), (' garden', -10.672012329101562), ('ers', -2.7921383380889893), (' of', -4.62905216217041), (' the', -1.6579986810684204), (' millionaire', -12.689586639404297), (' who', -6.769898414611816), (' have', -3.351477861404419)]"
42,11,meet,nonIC,high,pl,Tina met the gardeners of the millionaire who have, have,-4.341451644897461,"[('ina', -8.422158241271973), (' met', -10.21713638305664), (' the', -2.3611326217651367), (' garden', -11.981954574584961), ('ers', -2.1923704147338867), (' of', -4.27243709564209), (' the', -1.6587300300598145), (' millionaire', -11.688163757324219), (' who', -6.359428405761719), (' have', -4.341451644897461)]"
43,11,praise,IC,low,sg,Tina praised the gardeners of the millionaire who has, has,-5.20822811126709,"[('ina', -8.422158241271973), (' praised', -11.76224136352539), (' the', -1.0824074745178223), (' garden', -10.672012329101562), ('ers', -2.7921383380889893), (' of', -4.62905216217041), (' the', -1.6579986810684204), (' millionaire', -12.689586639404297), (' who', -6.769898414611816), (' has', -5.20822811126709)]"
44,11,meet,nonIC,low,sg,Tina met the gardeners of the millionaire who has, has,-5.634679794311523,"[('ina', -8.422158241271973), (' met', -10.21713638305664), (' the', -2.3611326217651367), (' garden', -11.981954574584961), ('ers', -2.1923704147338867), (' of', -4.27243709564209), (' the', -1.6587300300598145), (' millionaire', -11.688163757324219), (' who', -6.359428405761719), (' has', -5.634679794311523)]"
45,12,hate,IC,high,pl,Justin hates the cousins of the accountant who are, are,-5.00953483581543,"[(' hates', -11.586061477661133), (' the', -2.5572636127471924), (' cousins', -11.978479385375977), (' of', -3.028331995010376), (' the', -1.9112600088119507), (' accountant', -10.415258407592773), (' who', -1.82050621509552), (' are', -5.00953483581543)]"
46,12,carpool,nonIC,high,pl,Justin carpools with the cousins of the accountant who are, are,-5.683380126953125,"[(' car', -9.400957107543945), ('pool', -4.687755107879639), ('s', -2.057577610015869), (' with', -3.5422656536102295), (' the', -3.055433988571167), (' cousins', -9.718823432922363), (' of', -2.358841896057129), (' the', -2.0968921184539795), (' accountant', -10.4261474609375), (' who', -1.8615541458129883), (' are', -5.683380126953125)]"
47,12,hate,IC,low,sg,Justin hates the cousins of the accountant who is, is,-3.6707212924957275,"[(' hates', -11.586061477661133), (' the', -2.5572636127471924), (' cousins', -11.978479385375977), (' of', -3.028331995010376), (' the', -1.9112600088119507), (' accountant', -10.415258407592773), (' who', -1.82050621509552), (' is', -3.6707212924957275)]"
48,12,carpool,nonIC,low,sg,Justin carpools with the cousins of the accountant who is, is,-3.5059127807617188,"[(' car', -9.400957107543945), ('pool', -4.687755107879639), ('s', -2.057577610015869), (' with', -3.5422656536102295), (' the', -3.055433988571167), (' cousins', -9.718823432922363), (' of', -2.358841896057129), (' the', -2.0968921184539795), (' accountant', -10.4261474609375), (' who', -1.8615541458129883), (' is', -3.5059127807617188)]"
49,13,blame,IC,high,pl,Emily blamed the nieces of the florist who have, have,-5.798874855041504,"[(' blamed', -10.733977317810059), (' the', -1.4533894062042236), (' n', -7.761569976806641), ('ie', -5.714014053344727), ('ces', -0.007700520101934671), (' of', -4.16804313659668), (' the', -1.132077693939209), (' fl', -8.084527969360352), ('or', -2.643890380859375), ('ist', -0.8285034894943237), (' who', -3.335348129272461), (' have', -5.798874855041504)]"
50,13,wait,nonIC,high,pl,Emily waited with the nieces of the florist who have, have,-6.8512115478515625,"[(' waited', -11.176787376403809), (' with', -4.059683799743652), (' the', -2.8910374641418457), (' n', -8.286385536193848), ('ie', -4.946354866027832), ('ces', -0.002544738817960024), (' of', -4.996739387512207), (' the', -0.9172622561454773), (' fl', -7.689723968505859), ('or', -2.7398033142089844), ('ist', -0.9764024615287781), (' who', -3.7566275596618652), (' have', -6.8512115478515625)]"
51,13,blame,IC,low,sg,Emily blamed the nieces of the florist who has, has,-8.087929725646973,"[(' blamed', -10.733977317810059), (' the', -1.4533894062042236), (' n', -7.761569976806641), ('ie', -5.714014053344727), ('ces', -0.007700520101934671), (' of', -4.16804313659668), (' the', -1.132077693939209), (' fl', -8.084527969360352), ('or', -2.643890380859375), ('ist', -0.8285034894943237), (' who', -3.335348129272461), (' has', -8.087929725646973)]"
52,13,wait,nonIC,low,sg,Emily waited with the nieces of the florist who has, has,-6.889564514160156,"[(' waited', -11.176787376403809), (' with', -4.059683799743652), (' the', -2.8910374641418457), (' n', -8.286385536193848), ('ie', -4.946354866027832), ('ces', -0.002544738817960024), (' of', -4.996739387512207), (' the', -0.9172622561454773), (' fl', -7.689723968505859), ('or', -2.7398033142089844), ('ist', -0.9764024615287781), (' who', -3.7566275596618652), (' has', -6.889564514160156)]"
53,14,help,IC,high,pl,Joe helped the brothers of the athlete who are, are,-6.777183532714844,"[(' helped', -9.685056686401367), (' the', -2.6508753299713135), (' brothers', -8.256227493286133), (' of', -5.800553321838379), (' the', -2.1256349086761475), (' athlete', -10.357449531555176), (' who', -3.6226911544799805), (' are', -6.777183532714844)]"
54,14,run,nonIC,high,pl,Joe ran into the brothers of the athlete who are, are,-6.230597972869873,"[(' ran', -9.717802047729492), (' into', -2.835822343826294), (' the', -2.2893993854522705), (' brothers', -8.924843788146973), (' of', -4.484677314758301), (' the', -1.685568928718567), (' athlete', -10.451240539550781), (' who', -2.106562376022339), (' are', -6.230597972869873)]"
55,14,help,IC,low,sg,Joe helped the brothers of the athlete who is, is,-3.9770658016204834,"[(' helped', -9.685056686401367), (' the', -2.6508753299713135), (' brothers', -8.256227493286133), (' of', -5.800553321838379), (' the', -2.1256349086761475), (' athlete', -10.357449531555176), (' who', -3.6226911544799805), (' is', -3.9770658016204834)]"
56,14,run,nonIC,low,sg,Joe ran into the brothers of the athlete who is, is,-3.883269786834717,"[(' ran', -9.717802047729492), (' into', -2.835822343826294), (' the', -2.2893993854522705), (' brothers', -8.924843788146973), (' of', -4.484677314758301), (' the', -1.685568928718567), (' athlete', -10.451240539550781), (' who', -2.106562376022339), (' is', -3.883269786834717)]"
57,15,reproeach,IC,high,pl,Jessica reproached the doctors of the supermodel who were, were,-3.094809055328369,"[(' repro', -14.668539047241211), ('ached', -0.5371372103691101), (' the', -1.9537074565887451), (' doctors', -7.29180908203125), (' of', -3.6124744415283203), (' the', -1.170533299446106), (' super', -9.715017318725586), ('model', -5.389401435852051), (' who', -3.7446024417877197), (' were', -3.094809055328369)]"
58,15,work,nonIC,high,pl,Jessica worked with the doctors of the supermodel who were, were,-3.6122870445251465,"[(' worked', -9.932939529418945), (' with', -2.0559911727905273), (' the', -2.112248420715332), (' doctors', -8.097569465637207), (' of', -4.435003280639648), (' the', -0.997288167476654), (' super', -9.785648345947266), ('model', -4.445619583129883), (' who', -4.606312274932861), (' were', -3.6122870445251465)]"
59,15,reproeach,IC,low,sg,Jessica reproached the doctors of the supermodel who was, was,-2.932943820953369,"[(' repro', -14.668539047241211), ('ached', -0.5371372103691101), (' the', -1.9537074565887451), (' doctors', -7.29180908203125), (' of', -3.6124744415283203), (' the', -1.170533299446106), (' super', -9.715017318725586), ('model', -5.389401435852051), (' who', -3.7446024417877197), (' was', -2.932943820953369)]"
60,15,work,nonIC,low,sg,Jessica worked with the doctors of the supermodel who was, was,-2.0968756675720215,"[(' worked', -9.932939529418945), (' with', -2.0559911727905273), (' the', -2.112248420715332), (' doctors', -8.097569465637207), (' of', -4.435003280639648), (' the', -0.997288167476654), (' super', -9.785648345947266), ('model', -4.445619583129883), (' who', -4.606312274932861), (' was', -2.0968756675720215)]"
